developer,release_year,item_count,porcentaje_free
+7 software,2016,1,0.0
"+mpact games, llc.",2017,1,0.0
.m.y.w.,2016,1,0.0
.ez games,2017,1,0.0
07th expansion,2015,2,0.0
07th expansion,2016,3,0.0
07th expansion,2017,3,0.0
08 games,2016,1,0.0
100 plus games llc,2017,1,0.0
100 stones interactive,2016,1,0.0
100 stones interactive,2017,3,0.0
10101 software,2016,1,0.0
10ft games,2017,1,0.0
10kbit games,2017,4,0.0
10ravens s.r.o.,2017,1,0.0
"10th art studio,adventure productions",2014,1,0.0
10tons ltd,2012,1,0.0
10tons ltd,2014,2,0.0
10tons ltd,2015,3,0.0
10tons ltd,2016,4,0.0
10tons ltd,2017,4,0.0
10x10 room,2017,2,0.0
11 bit studios,2011,1,0.0
11 bit studios,2013,4,25.0
11 bit studios,2014,2,0.0
11 bit studios,2015,1,0.0
11 bit studios,2016,1,0.0
12 east games,2017,1,0.0
12 hit combo,2016,1,0.0
1337 &amp; senri ab,2015,1,0.0
13am games,2016,4,0.0
14 dimension enterprise,2017,1,0.0
14 hours productions,2017,2,50.0
14dimension enterprise,2015,1,0.0
14dimension enterprise,2016,1,0.0
14° east,2001,1,0.0
16 swans,2017,1,0.0
16bit nights,2016,2,0.0
17-bit,2013,1,0.0
17-bit,2015,1,0.0
17studio,2016,1,0.0
1888 games,2016,1,0.0
1c company,2004,1,0.0
1c company,2007,1,0.0
1c company,2008,2,0.0
1c company,2009,4,0.0
1c company,2010,3,0.0
1c company,2011,2,0.0
"1c game studios,777 studios",2016,3,0.0
1c wireless,2014,2,0.0
1c wireless,2015,1,0.0
1c-avalon,2011,1,0.0
1c-softclub,2012,2,0.0
1c-softclub,2014,1,0.0
1c: maddox games,2006,1,0.0
1c: maddox games,2011,1,100.0
1c:inoco,2009,5,0.0
1c:inoco,2010,1,0.0
1c:inoco,2011,3,0.0
1cc games,2016,2,0.0
2 monkeys,2016,1,0.0
2 zombie games,2017,2,0.0
2 players,2016,1,0.0
2-volt games,2017,1,100.0
2015,2004,1,0.0
2020 venture,2016,1,0.0
20letpast,2017,1,0.0
22cans,2016,1,0.0
22cans,2017,1,0.0
24 caret games,2013,1,0.0
251 games,2014,1,0.0
26k,2017,1,0.0
29palms scenery design,2016,1,0.0
"29palms,jaranet",2017,1,0.0
2awesome studio,2017,1,0.0
2b_games,2016,1,0.0
2beats,2017,1,0.0
2bit studios,2016,1,0.0
"2chance projects,iichan eroge team",2015,1,100.0
"2chance projects,iichan eroge team,djsm",2017,1,0.0
2d boy,2008,1,0.0
"2d heroes,ursa games",2016,1,0.0
"2d heroes,ursa games",2017,1,0.0
2darray,2013,1,0.0
2dengine,2011,1,0.0
2dengine,2015,1,0.0
2dengine.com,2008,1,0.0
2dhd,2016,1,0.0
2dog games,2017,1,0.0
"2k australia,gearbox software,aspyr (mac &amp; linux)",2014,1,0.0
"2k australia,gearbox software,aspyr (mac and linux)",2014,1,0.0
"2k australia,gearbox software,aspyr (mac, linux)",2014,1,0.0
"2k australia,gearbox software,aspyr (mac, linux)",2015,1,0.0
"2k australia,gearbox software,aspyr (mac,linux)",2014,1,0.0
"2k boston,2k australia",2007,1,0.0
"2k boston,2k australia,blind squirrel,feral interactive (mac)",2016,1,0.0
2k czech,2010,4,0.0
"2k czech,feral interactive (mac)",2010,3,0.0
"2k czech,feral interactive (mac)",2011,1,0.0
2k marin,2013,4,0.0
"2k marin,2k china,digital extremes,2k australia,blind squirrel",2016,2,0.0
"2k marin,2k china,digital extremes,2k australia,feral interactive (mac)",2010,1,0.0
2pi interactive pvt. ltd.,2016,1,0.0
2play,2013,1,0.0
"2play,fredrik häthén music",2017,1,0.0
"2play,prasius",2017,1,0.0
2sd,2015,2,0.0
"2xl games,blitworks",2017,1,0.0
2by3 games,2010,1,0.0
2by3 games,2012,1,0.0
2by3 games,2013,1,0.0
2by3 games,2014,1,0.0
2by3 games,2015,1,0.0
2x2 games,2012,2,0.0
2x2 games,2013,1,0.0
2xmilk,2017,2,0.0
3 core studio,2013,1,0.0
3 fright,2016,2,0.0
3 minute games,2017,1,0.0
3 sprockets,2012,1,0.0
3 sprockets,2013,1,0.0
3 sprockets,2014,1,0.0
3 sprockets,2017,1,0.0
30.06 studios ltd,2014,1,0.0
300 fps,2017,1,0.0
3000ad,2009,2,0.0
3000ad,2014,3,33.33
3000ad,2015,2,0.0
3100 games,2016,1,0.0
313 studios,2017,1,0.0
314 arts,2016,1,0.0
"343 industries,vanguard games",2014,1,0.0
34bigthings srl,2015,1,0.0
34bigthings srl,2016,2,0.0
34bigthings srl,2017,5,0.0
373vfs greg,2017,1,0.0
"38,9_degrees",2017,4,0.0
3909,2013,1,0.0
3crew,2016,1,0.0
3d avenue,2016,2,0.0
3d realms,1996,1,100.0
3d realms (apogee software),1990,2,100.0
3d realms (apogee software),1991,3,33.33
3d realms (apogee software),1992,2,0.0
3d realms (apogee software),1993,3,33.33
3d realms (apogee software),1994,1,0.0
3d realms (apogee software),1995,1,0.0
3d realms (apogee software),1997,1,0.0
3d2 entertainment,2017,2,0.0
3dclouds.it,2017,2,0.0
3dduo,2016,5,0.0
3dduo,2017,3,0.0
3dflow srl,2016,1,0.0
3division,2016,4,0.0
3gogames,2017,1,0.0
