Genre,Total_Hours,Rank
action,3113562606,1
indie,1494622404,2
rpg,1041022718,3
adventure,909995120,4
simulation,867646306,5
strategy,659363841,6
free to play,610752945,7
massively multiplayer,446594080,8
casual,252232854,9
early access,158701268,10
sports,65849177,11
racing,63698455,12
utilities,4702399,13
design &amp; illustration,4102258,14
web publishing,2780605,15
video production,2408892,16
animation &amp; modeling,2007347,17
software training,571032,18
audio production,556002,19
education,415556,20
photo editing,115425,21
