id,title,recommends
761140.0,Lost Summoner Kitty,"[765320.0, 766850.0, 697000.0, 730120.0, 553610.0]"
643980.0,Ironbound,"[544730.0, 205890.0, 453480.0, 410380.0, 685420.0]"
670290.0,Real Pool 3D - Poolians,"[522660.0, 645260.0, 614100.0, 504350.0, 524420.0]"
767400.0,弹炸人2222,"[767400.0, 686070.0, 562690.0, 670100.0, 708630.0]"
772540.0,Battle Royale Trainer,"[302250.0, 434250.0, 3700.0, 34830.0, 238090.0]"
774276.0,SNOW - All Access Basic Pass,"[774279.0, 774278.0, 774277.0, 774271.0, 522660.0]"
774277.0,SNOW - All Access Pro Pass,"[774279.0, 774278.0, 774277.0, 774271.0, 522660.0]"
774278.0,SNOW - All Access Legend Pass,"[774279.0, 774278.0, 774277.0, 774271.0, 522660.0]"
768800.0,Race,"[710640.0, 514970.0, 571080.0, 550870.0, 680370.0]"
768570.0,Uncanny Islands,"[556300.0, 714640.0, 622230.0, 516460.0, 754020.0]"
770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"[428710.0, 710730.0, 717260.0, 592815.0, 694800.0]"
768880.0,Beach Rules,"[765320.0, 766850.0, 750620.0, 756450.0, 763740.0]"
765320.0,Planetarium 2 - Zen Odyssey,"[765320.0, 761140.0, 687390.0, 750040.0, 710940.0]"
773650.0,The first thrust of God,"[773690.0, 761140.0, 766850.0, 765320.0, 764950.0]"
774271.0,SNOW - Starter Pack,"[774279.0, 774278.0, 774277.0, 774271.0, 522660.0]"
773690.0,The first thrust of God - All Aircrafts,"[773650.0, 761140.0, 764950.0, 765320.0, 766850.0]"
774279.0,SNOW - Lifetime Pack,"[774279.0, 774278.0, 774277.0, 774271.0, 522660.0]"
768060.0,The Warrior Of Treasures,"[585560.0, 486480.0, 733090.0, 654980.0, 723830.0]"
775880.0,RC Plane 3 - Canyon Scenario,"[775881.0, 670500.0, 675780.0, 675807.0, 675809.0]"
775881.0,RC Plane 3 - F-53B,"[670500.0, 775880.0, 675805.0, 675804.0, 675821.0]"
653960.0,DinoBlaster,"[540590.0, 629720.0, 710630.0, 653870.0, 569130.0]"
777910.0,Robotpencil Presents: Understanding 3D for Concept,"[777930.0, 777950.0, 775640.0, 635130.0, 549550.0]"
282010.0,Carmageddon Max Pack,"[282030.0, 331650.0, 505170.0, 673280.0, 444740.0]"
70.0,Half-Life,"[50.0, 280.0, 360.0, 40.0, 220.0]"
752360.0,Fallen Mage,"[751580.0, 751660.0, 709010.0, 752400.0, 531890.0]"
520680.0,Lost Cities,"[307430.0, 251210.0, 312720.0, 445070.0, 312280.0]"
690410.0,Twisted Enhanced Edition,"[565330.0, 586570.0, 468130.0, 772190.0, 675120.0]"
766850.0,Vaporwave Simulator,"[765320.0, 761140.0, 687390.0, 750040.0, 710940.0]"
413120.0,Tactics Forever,"[562700.0, 662230.0, 376120.0, 510840.0, 639001.0]"
773120.0,Christmas Santa Troubles,"[757720.0, 701020.0, 671480.0, 685920.0, 696190.0]"
754360.0,Underdone - Soundtrack,"[666040.0, 718050.0, 766700.0, 718590.0, 585640.0]"
716110.0,Bitcoin Clicker,"[657680.0, 737750.0, 595340.0, 766700.0, 760300.0]"
