user_id,porcentaje_recomendacion,cantidad_gastada,cantidad_items
--000--,100.0,402.77000000000004,58.0
--ace--,100.0,166.82,44.0
--ionex--,100.0,109.92,23.0
-2SV-vuLB-Kg,100.0,437.49,68.0
-Azsael-,100.0,2461.68,167.0
-Beave-,100.0,54.95,47.0
-GM-Dragon,50.0,822.47,106.0
-I_AM_EPIC-,100.0,129.94,20.0
-Kenny,100.0,1563.12,118.0
-Mad-,100.0,3680.18,367.0
-PRoSlayeR-,50.0,2540.33,529.0
-SEVEN-,77.77777777777779,3641.04,394.0
-SatansLittleHelper-,100.0,323.78000000000003,28.0
-Thyme-,100.0,519.68,43.0
-Ultrix,100.0,1467.68,131.0
-Zovix-,100.0,224.87,51.0
-_PussyDestroyer_-,60.0,360.68,51.0
-kainey9777,100.0,1027.53,69.0
0-3-0,100.0,1639.9399999999998,139.0
00000000000000000001227,100.0,1072.28,93.0
001000111000111000010,100.0,753.4,71.0
00284702,100.0,,
00454211432342,50.0,137.88,24.0
00690069006900,100.0,801.35,102.0
00810cccyyykkk,100.0,19.98,7.0
0099654321891111,100.0,188.86,23.0
00True,100.0,302.86,28.0
01001000-01101001,100.0,1338.21,88.0
011011010111001000101110,100.0,101.88,26.0
011111135489484797,100.0,29.979999999999997,5.0
01189958889189157253,83.33333333333334,1869.74,159.0
01221733,100.0,563.6,125.0
0132489,100.0,,
0136849195,100.0,133.91,62.0
01shan,100.0,24.98,5.0
022899,100.0,1163.38,80.0
03092002,100.0,255.89,24.0
04061993,100.0,1019.3,214.0
04092013,100.0,622.0799999999999,128.0
0412734634,100.0,59.96,20.0
042153100,50.0,1547.21,118.0
04280122,100.0,1265.1499999999999,113.0
0432-026-no,100.0,79.93,14.0
0445233,100.0,,
0468313256,100.0,99.88,86.0
05041129,66.66666666666666,277.78,35.0
05461025,100.0,560.59,53.0
0700464574757,100.0,383.71999999999997,48.0
07824,100.0,,
07846813956825,0.0,1156.31,92.0
08254669696969696969,100.0,,
0854029092,100.0,19.99,5.0
0896398616,100.0,1124.68,184.0
0903512455,100.0,199.85,41.0
09106,100.0,1212.07,176.0
091263,100.0,3098.59,369.0
094553552,100.0,694.54,89.0
095732,66.66666666666666,179.86,30.0
095843067,100.0,2705.57,239.0
09876543231,100.0,215.82999999999998,25.0
098766catdogbnmnnn,100.0,227.84,42.0
09879655452567,87.5,,
10000000thVisitor,100.0,1105.18,106.0
100101011111000011111111,100.0,,
1001101001110101,0.0,3403.6,286.0
10051997,100.0,1254.16,130.0
10101010101010109,100.0,3769.07,307.0
101010101111,100.0,382.8,42.0
1011001,90.0,1228.16,128.0
1016523030,100.0,0.0,6.0
10197226,100.0,276.73,36.0
102598615,100.0,166.85,45.0
106816544,100.0,,
10936543792,100.0,1038.24,109.0
10Degree,100.0,1323.04,150.0
10oyard,100.0,209.88,20.0
110211021,50.0,488.62,73.0
1103703132946,100.0,727.54,65.0
11111121111122221,100.0,,
111190869,100.0,803.55,62.0
111222333444555666888,85.71428571428571,1161.36,52.0
11124,0.0,445.7,44.0
111zerosen,100.0,419.52,65.0
1122305938,75.0,2394.74,177.0
112367263762,75.0,,
112asdasfasdasd,100.0,0.0,23.0
113595,100.0,1064.3999999999999,76.0
1136579070,100.0,686.5899999999999,82.0
11567jj,100.0,466.74,102.0
117331,100.0,346.74,67.0
117arbiter,100.0,1665.48,166.0
11925219096,100.0,727.6,70.0
119922883377446655123456789,0.0,268.81,60.0
11XGX,50.0,2705.2999999999997,215.0
120445,100.0,935.77,120.0
120488700,100.0,264.92,21.0
12066gdc,100.0,,
1212343456567878909,100.0,340.82,33.0
12125,100.0,1352.1599999999999,126.0
12223536,50.0,2115.87,177.0
123123123131231231,100.0,295.87,43.0
12312312332123,100.0,210.85,31.0
123123718417671290,100.0,,
123232343432555686888554456555,100.0,628.66,65.0
12332165478953761,100.0,763.51,59.0
1234148932401,100.0,,
12341846,100.0,301.77,28.0
12345676543456789098543,100.0,442.7,73.0
1234567810132,100.0,144.85,48.0
12345678901234567890123456567890,85.71428571428571,2874.36,206.0
1234567890192837465,100.0,865.51,98.0
12345678910a,100.0,1168.3899999999999,81.0
123456789874561232145678,100.0,2852.08,269.0
123456789diamond987654321,100.0,705.53,71.0
1234567io9872345678765432,87.5,1361.07,155.0
1234865654,100.0,463.64,76.0
12391939123,100.0,839.89,124.0
12398uf8jg21390,100.0,312.77,35.0
123joshua321,100.0,945.29,87.0
123repulseMe,100.0,1097.24,137.0
12536475869trhgsdf,100.0,559.46,99.0
1263512533427542734,50.0,,
12779,80.0,797.47,105.0
12839201,100.0,,
129874182,100.0,1775.6599999999999,155.0
12DeAgostoAs12HRSe26MIN,100.0,280.78,35.0
12_gauge_org,100.0,292.88,48.0
12das,100.0,44.96,20.0
1300655506nigga,100.0,312.72,41.0
131312,77.77777777777779,1742.83,135.0
131467132,100.0,453.76,56.0
1321742413,80.0,243.84,66.0
13305678912,100.0,,
133742069174,100.0,1033.5,95.0
1337666133766613376661337,100.0,1397.1299999999999,113.0
1337Akraken,0.0,1153.34,110.0
1337_K_REW,100.0,84.95,38.0
1337hunter,100.0,1236.8,67.0
1337lolroflmao,100.0,1961.79,197.0
1337putin,100.0,1834.02,91.0
1343534566,100.0,227.85,23.0
13457856281,100.0,317.76,42.0
135781,87.5,913.4399999999999,63.0
13971397,100.0,2844.41,222.0
13lazer,100.0,5578.28,398.0
14125161412,100.0,,
14372193,100.0,344.81,111.0
1440454,100.0,638.5799999999999,70.0
1452221660414,100.0,1689.93,140.0
145578,100.0,1030.95,94.0
1457184935981,100.0,172.88,27.0
14725836900,100.0,134.91,17.0
147532984,100.0,924.5,99.0
150010792,100.0,156.84,113.0
154352,75.0,444.71999999999997,87.0
1546328127418,50.0,329.88,27.0
154930493,100.0,427.82,38.0
15511551,100.0,1123.09,156.0
157645,100.0,4856.7,487.0
15832789427,100.0,1090.48,102.0
15934,100.0,1699.12,124.0
159zse159,100.0,5034.75,377.0
1626466724893520,100.0,584.68,64.0
163050995,100.0,0.0,13.0
16538,100.0,2497.72,138.0
169420666,100.0,327.73,53.0
17101710,88.88888888888889,1467.82,134.0
171516,83.33333333333334,1561.96,196.0
17291799,100.0,154.92,19.0
1739902091026,100.0,266.8,79.0
174gamecuman700kngkakak,100.0,1329.2,159.0
17829463213,100.0,424.8,69.0
1800-Ricohut,83.33333333333334,1019.31,121.0
1801010101,80.0,,
180577,100.0,583.58,66.0
18082001,100.0,685.27,105.0
18228272828,100.0,1637.11,153.0
18481,100.0,2134.78,154.0
1850172512752815,100.0,147.41,28.0
1873410337,88.88888888888889,384.82,39.0
1875489156748,100.0,386.73,52.0
187625,66.66666666666666,395.62,121.0
1889999999999999,100.0,249.91,35.0
1892322575,100.0,,
19-20-5-20-27-5-18,100.0,154.88,32.0
1920410,0.0,1099.42,87.0
1922001,100.0,510.1,94.0
19372250,100.0,1963.8899999999999,137.0
1944086851,100.0,64.95,14.0
194847383,100.0,954.3199999999999,135.0
1956aa1,50.0,1587.42,113.0
195862,100.0,625.64,69.0
1994dbc,100.0,2084.72,207.0
19990923,100.0,229.89999999999998,41.0
19te_Polska,100.0,984.42,70.0
1MLG2U,100.0,350.57,59.0
1NFR33,100.0,1943.8999999999999,196.0
1R1M1,33.33333333333333,323.74,52.0
1a1u14,100.0,365.74,76.0
1epicninja,100.0,994.43,91.0
1iam1iam1iam,100.0,804.6899999999999,70.0
1jamesn4,100.0,930.4,82.0
1silentsniper1,100.0,3637.87,319.0
1snap,85.71428571428571,1978.52,179.0
1stBLUE-COW,100.0,342.77,52.0
1stJamestar,100.0,,
1stpionpaul,100.0,2066.69,162.0
1v08,100.0,,
1v1meguy,100.0,3240.77,245.0
200220006,100.0,1835.01,139.0
20041213,66.66666666666666,19.98,27.0
200px-spy-taunt-laugh,100.0,69.95,18.0
2011368123,100.0,3115.0099999999998,252.0
2080308,100.0,722.47,85.0
2092000666,100.0,165.85999999999999,31.0
210396,100.0,,
210519992016,20.0,593.5899999999999,84.0
211011374,100.0,529.77,32.0
